Yr,Mon,Day,Hr,Min,CH4,C2H6
2012,10,11,0,30,1979.79,3.21894
2012,10,11,0,35,1984.92,3.46316
2012,10,11,0,40,1990.84,3.59128
2012,10,11,0,45,1993.65,3.61356
2012,10,11,0,50,1985.72,3.45843
2012,10,11,0,55,1989.2,3.60558
2012,10,11,1,0,1993.72,3.97311
2012,10,11,1,5,1992.51,3.93305
2012,10,11,1,10,1992.66,3.88576
2012,10,11,1,15,1993.41,3.26417
2012,10,11,1,20,1991.37,2.71768
2012,10,11,1,25,1996.16,2.99303
2012,10,11,1,30,1992.12,3.44545
2012,10,11,1,35,1991.23,3.72529
2012,10,11,1,40,1989.07,3.67617
2012,10,11,1,45,1991.75,3.7333
2012,10,11,1,50,1988.75,3.59852
2012,10,11,1,55,1990.16,3.63359
2012,10,11,2,0,2002.09,4.01941
2012,10,11,2,5,2002.85,4.10304
2012,10,11,2,10,2008.67,4.13593
2012,10,11,2,15,2015.24,4.46829
2012,10,11,2,20,2015.85,4.66963
2012,10,11,2,25,2007.76,4.58908
2012,10,11,2,30,2010.45,4.51105
2012,10,11,2,35,2010.06,4.39346
2012,10,11,2,40,2018.14,4.34385
2012,10,11,2,45,2023.54,4.02015
2012,10,11,2,50,2018.71,3.93779
2012,10,11,2,55,2006.47,4.14483
2012,10,11,3,0,2001,4.0162
2012,10,11,3,5,1996.07,3.1057
2012,10,11,3,10,1994.17,3.22315
2012,10,11,3,15,1993.1,3.83538
2012,10,11,3,20,1990.37,4.05689
2012,10,11,3,25,1991.48,4.54776
2012,10,11,3,30,1990.49,4.00939
2012,10,11,3,35,1985.93,3.98742
2012,10,11,3,40,1992.28,4.62425
2012,10,11,3,45,1992.4,4.7659
2012,10,11,3,50,1992.76,4.79437
2012,10,11,3,55,1988.51,4.78738
2012,10,11,4,0,1984.73,4.76236
2012,10,11,4,5,1987.13,4.80131
2012,10,11,4,10,1985.01,4.73666
2012,10,11,4,15,1985.36,4.7545
2012,10,11,4,20,1984.03,4.98095
2012,10,11,4,25,1976.84,4.33969
2012,10,11,4,30,1973.62,4.28525
2012,10,11,4,35,1973.35,4.41635
2012,10,11,4,40,1971.27,6.1388
2012,10,11,4,45,1968.84,6.1338
2012,10,11,4,50,1971.89,5.41173
2012,10,11,4,55,1970.92,6.01566
2012,10,11,5,0,1967.28,4.84825
2012,10,11,5,5,1965.16,4.22489
2012,10,11,5,10,1965.54,4.11447
2012,10,11,5,15,1969.91,4.49893
2012,10,11,5,20,1974.14,4.20714
2012,10,11,5,25,1975.26,3.88133
2012,10,11,5,30,1966.41,4.04776
2012,10,11,5,35,1967.59,2.3671
2012,10,11,5,40,1963.85,3.12415
2012,10,11,5,45,1960.45,3.29559
2012,10,11,5,50,1959.68,3.13732
2012,10,11,5,55,1960.19,2.26042
2012,10,11,6,0,1955.3,3.20111
2012,10,11,6,5,1953.35,4.60398
2012,10,11,6,10,1949.91,3.82528
2012,10,11,6,15,1949.92,4.01517
2012,10,11,6,20,1947.12,3.81745
2012,10,11,6,25,1947.78,2.83331
2012,10,11,6,30,1949,3.40361
2012,10,11,6,35,1951.01,3.35221
2012,10,11,6,40,1947.44,3.24785
2012,10,11,6,45,1952.8,2.40168
2012,10,11,6,50,1946.33,3.12649
2012,10,11,6,55,1946.75,2.26459
2012,10,11,7,0,1950.93,2.79681
2012,10,11,7,5,1951.05,3.74879
