Yr,Mn,Dy,Hr,Obs,Mod.enh,Bg_quant_0.05,Bg_quant_0.06,Bg_quant_0.07,Bg_quant_0.08,Bg_quant_0.09,Bg_quant_0.1,Bg_quant_0.11,Bg_quant_0.12,Bg_quant_0.13,Bg_quant_0.14,Bg_quant_0.15,Bg_quant_0.16,Bg_quant_0.17,Bg_quant_0.18,Bg_quant_0.19,Bg_quant_0.2,Bg_quant_0.21,Bg_quant_0.22,Bg_quant_0.23,Bg_quant_0.24,Bg_quant_0.25,Bg_quant_0.26,Bg_quant_0.27,Bg_quant_0.28,Bg_quant_0.29,Bg_quant_0.3,Bg_quant_0.31,Bg_quant_0.32,Bg_quant_0.33,Bg_quant_0.34,Bg_quant_0.35
2012,9,2,17,1934.26,23.5068,1891.79,1892.83,1893.81,1894.76,1895.41,1895.76,1896.01,1896.12,1896.31,1896.74,1897.15,1897.42,1897.7,1898.01,1898.32,1898.58,1898.83,1899.04,1899.25,1899.48,1899.71,1900.28,1901.24,1902.03,1902.53,1902.98,1903.26,1903.53,1903.69,1903.86,1904.25
2012,9,2,18,1934.12,38.0692,1894.84,1896.07,1897.25,1898.4,1899.22,1899.71,1900.07,1900.2,1900.4,1900.85,1901.28,1901.58,1901.87,1902.12,1902.37,1902.59,1902.8,1902.99,1903.17,1903.34,1903.51,1903.75,1904.08,1904.49,1905.05,1905.63,1906.25,1906.84,1907.11,1907.39,1907.67
2012,9,2,19,1925.33,6.74749,1887.79,1888.47,1889.21,1889.98,1890.63,1891.14,1891.56,1891.84,1892.12,1892.4,1892.69,1893.05,1893.41,1893.79,1894.16,1894.41,1894.64,1894.88,1895.11,1895.36,1895.63,1895.92,1896.22,1896.52,1896.81,1897.12,1897.46,1897.8,1898.12,1898.45,1898.83
2012,9,2,20,1919.65,5.86683,1885.34,1885.74,1886.27,1886.89,1887.48,1888.06,1888.58,1889.01,1889.42,1889.75,1890.07,1890.26,1890.46,1890.82,1891.19,1891.56,1891.94,1892.18,1892.37,1892.59,1892.82,1893.1,1893.43,1893.76,1894.1,1894.41,1894.62,1894.84,1895.03,1895.23,1895.52
2012,9,2,21,1904.22,4.27784,1884.03,1884.12,1884.35,1884.67,1885.12,1885.68,1886.27,1886.89,1887.48,1887.94,1888.39,1888.67,1888.96,1889.15,1889.34,1889.69,1890.07,1890.47,1890.88,1891.17,1891.36,1891.59,1891.84,1892.12,1892.44,1892.76,1893.09,1893.4,1893.49,1893.58,1893.7
2012,9,2,22,1907.83,38.5861,1893.32,1893.4,1893.55,1893.74,1894.13,1894.74,1895.53,1896.64,1897.78,1899.05,1900.28,1901.2,1902.12,1902.64,1903.16,1903.53,1903.87,1904.15,1904.41,1904.73,1905.1,1905.44,1905.74,1906,1906.18,1906.36,1906.54,1906.71,1906.84,1906.97,1907.09
2012,9,2,23,1914.78,57.3242,1893.84,1893.92,1894,1894.1,1894.19,1894.29,1894.54,1895.05,1895.69,1896.76,1897.86,1899.25,1900.64,1901.7,1902.76,1903.41,1904,1904.43,1904.79,1905.05,1905.24,1905.54,1905.97,1906.36,1906.68,1906.97,1907.14,1907.31,1907.49,1907.66,1907.8
2012,9,3,0,1907.99,43.668,1893.78,1893.81,1893.88,1893.98,1894.07,1894.15,1894.21,1894.26,1894.44,1895.03,1895.65,1896.52,1897.39,1898.78,1900.17,1901.34,1902.46,1903.22,1903.84,1904.32,1904.7,1904.99,1905.19,1905.46,1905.86,1906.24,1906.6,1906.95,1907.12,1907.28,1907.46
2012,9,3,1,1911.25,47.8256,1893.8,1893.82,1893.9,1894,1894.1,1894.19,1894.27,1894.33,1894.49,1894.98,1895.48,1896.04,1896.6,1897.86,1899.13,1900.47,1901.82,1902.73,1903.48,1904.03,1904.46,1904.82,1905.11,1905.37,1905.56,1905.82,1906.35,1906.84,1906.95,1907.06,1907.22
2012,9,3,2,1917.31,30.7788,1893.81,1893.84,1893.91,1894.02,1894.12,1894.21,1894.29,1894.35,1894.51,1894.96,1895.41,1895.85,1896.28,1897.49,1898.72,1900.12,1901.56,1902.54,1903.34,1903.92,1904.36,1904.75,1905.09,1905.34,1905.45,1905.66,1906.25,1906.79,1906.85,1906.92,1907.07
